Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.8113350664230772	0.6209872922553205	0.7035089744586612	0.3790127077446796	1490243.5535714286	6.543018368887488E-7
stockpickr	0.9259892710689303	0.6307093724272095	0.7503442112063697	0.36929062757279046	25484.11750139509	5.893898311186485E-5
smartmoney	0.8823781802456908	0.7266999050723525	0.7969870907547255	0.27330009492764723	1.4144140629333334E10	4.901414429880901E-7
minyanville	0.8110881161819667	0.6214340052497414	0.7037058042051008	0.3785659947502586	1483675.0714285714	7.928100778542557E-7
raymond-james	0.598607530153543	0.5579868355239853	0.5775837491891986	0.44201316447601463	86690.41573660714	5.700493531435314E-7
finance-abc7-com	0.8113860117990404	0.621311783210135	0.7037370826193242	0.378688216789865	1489579.6666666667	6.554884862453037E-7
google-finance	0.7318589453348768	0.667793988531772	0.6983593691857927	0.3322060114682279	3.7946063847619045E8	1.5522440907068086E-5
marketintellisearch	0.6005191728961699	0.47417488091100635	0.5298790777045339	0.5258251190889938	4.1097875504761904E8	9.117334180752139E-7
msn-money	0.8453564833800575	0.8436078820114409	0.8444807196615035	0.15639211798855937	4.321425798095238E8	1.548199763421042E-5
paidcontent	0.8112370456988507	0.6215165316924095	0.7038145921163013	0.3784834683075904	1483856.9464285714	7.836245316639179E-7
thecramerreport	0.41742257437819447	0.16973717836423702	0.24122313062110431	0.8302628216357629	1770150.400576637	3.005077312323579E-7
cio-com	0.8438706277893759	0.7604016651238181	0.7999568704765685	0.2395983348761817	1.3524672419047618E8	7.107029709629841E-7
investorguide	0.63872747771907	0.5298265432969474	0.5791370401517042	0.4701734567030525	1.5797642666666667E9	3.834650949948884E-11
simple-stock-quotes	0.6988038386719874	0.23113115629253503	0.3473129104367719	0.7688688437074648	NaN	NaN
streetinsider-com	0.7872545511845525	0.7256476650182057	0.7551965909134599	0.2743523349817942	76325.02557663691	2.261658742952477E-6
eresearch-fidelity-com	0.8371080645597094	0.7647903138284227	0.7993167539065186	0.23520968617157723	2.9210411047619045E8	2.0983006914221393E-7
bloomberg	0.6541926372440378	0.5752400754613483	0.6121811918494258	0.42475992453865163	3.119810773333333E8	4.490586614093131E-7
tmx-quotemedia	0.7827568844612348	0.781419133474473	0.7820874369076256	0.21858086652552697	2.5675294552380952E8	5.09634999978914E-7
financial-content	0.8110286664743938	0.6207839311964494	0.70326344532106	0.3792160688035506	1490069.9345238095	6.613258992871351E-7
yahoo-finance	0.7407779220267946	0.7365970420361393	0.7386727009868911	0.2634029579638606	4.474800518095238E8	7.51979854385354E-7
scroli	0.795270042622594	0.5498300307694213	0.6501570681263436	0.45016996923057867	1761325.6964285714	2.207522684438161E-7
barchart	0.7304244112062065	0.7291205282234003	0.7297718646587062	0.2708794717765996	4.259646659047619E8	3.7048832936986425E-7
hpcwire	0.8115491209111994	0.6185962515337856	0.7019380957766638	0.3814037484662144	1465797.732142857	1.0679149085035533E-6
stocktwits	0.26434614783993654	0.06743367019995461	0.10745544244807051	0.9325663298000454	NaN	NaN
tickerspy	0.7847914652875484	0.7184644690445258	0.7501647161615788	0.2815355309554742	5.235815634285714E8	2.668441976894087E-6
investopedia	0.6536539133822628	0.27488562820790996	0.3866853818455697	0.7251143717920902	NaN	NaN
thestree	0.9270397656131376	0.7098965070855515	0.8040634867297886	0.2901034929144484	2.4412898742857143E8	3.725947342658742E-6
finviz	0.5124800589519295	0.3201140899892434	0.3940745549267841	0.6798859100107567	4.001734659047619E8	1.0729777371360733E-6
renewable-energy-world	0.8114497367973067	0.6182302285101817	0.7016652946355376	0.38176977148981833	1489510.244047619	1.0550285473698296E-6
stocksmart	0.0013988487183792923	5.286840429904622E-4	NaN	0.9994713159570094	6510195.880952381	5.7858753386258716E-8
advfn	0.7748707670164885	0.39487325330822654	0.5231476176738716	0.6051267466917735	26495.410970052082	1.4630119267167174E-6
updown	0.7705854392554253	0.6916190161070367	0.7284957269755861	0.3083809838929631	2.128743718521905E11	6.218385106731852E-7
finapps-forbes-com	0.7474702737781687	0.7374428389820937	0.7424201720750281	0.2625571610179062	2.1070777219047618E8	2.8977598045543116E-7
foxbusiness	0.9337934048209545	0.23869891427402753	0.380207806195125	0.7613010857259725	64583.998046875	1.5359308115137082E-6
ycharts-com	0.4585647059473627	0.28433196098754054	0.3510166470381109	0.7156680390124593	8.547851611428572E8	4.47583490607663E-11
nasdaq-com	1.0	1.0	1.0	0.0	0.0	NaN
boston-com	0.8112370456988507	0.6215163927844208	0.7038145030384516	0.37848360721557905	1482521.9107142857	1.0479425903042738E-6
bostonmerchant	0.8113734978085854	0.6213539401282331	0.7037612377516554	0.37864605987176686	1482551.2976190476	1.0486839549628258E-6
fool	0.6966184237975301	0.6359581963804244	0.6649076491569408	0.3640418036195756	4.515578361904762E8	1.8524042304301517E-7
insidestocks	0.7656504648345737	0.4454166296061283	0.5626822913697074	0.5545833703938716	862467.6083926247	1.8724590403064126E-6
marketwatch	0.6709066253003286	0.6599204256604646	0.6653668384514607	0.3400795743395354	6.669501699047619E8	2.7067340369058002E-8
zacks	0.7140792909412973	0.5629905596837569	0,6295724353954581	0.43700944031624306	4.681033136E8	2.6570447131391006E-8
screamingmedia	0.6977847232342289	0.5370668948806399	0.6070057120140200	0.46293310511936003	6.475345795555556E8	2.7444464774835826E-8
stocknod	0.8116695230543576	0.6186773742724893	0.7020350302247432	0.38132262572751074	1468151.011904762	7.979301798854977E-7
howthemarketworks	0.8118172267287352	0.48244501063763473	0.6052086685625409	0.5175549893623653	29118.718191964286	2.8122336527047763E-6
pc-quote	0.7838921520839848	0.6521432999844239	0.7114237718383069	0.347856700015576	1.0400580358095238E9	4.44144398296468E-8
chron	0.8114047220488951	0.6207865654787843	0.703397251879492	0.3792134345212156	1476259.2916666667	1.0660627388858757E-6
optimum	0.7175656627439937	0.6379428561137055	0.6754149027804137	0.3620571438862945	6.956014495238096E7	4.6508940894085525E-7
