Source	Precision	Recall	Fmeasure	ErrorRate	MAD	MNAD
finance-abc7chicago-com	0.8253615127919911	0.6331058020477816	0.7165620473201352	0.36689419795221845	1333494.5	1.103265617530269E-6
stockpickr	0.9386733416770964	0.6399317406143344	0.76103500761035	0.36006825938566556	12892.3251953125	1.4749526599189267E-5
smartmoney	0.8955987717502559	0.7465870307167235	0.8143322475570032	0.2534129692832765	1.4238088192E10	7.847765459700895E-7
minyanville	0.8253615127919911	0.6331058020477816	0.7165620473201352	0.36689419795221845	1333126.5	1.0633356168909813E-6
raymond-james	0.6075022872827082	0.5665529010238908	0.5863134657836645	0.4334470989761092	31873.8203125	9.308408266406332E-7
finance-abc7-com	0.8253615127919911	0.6331058020477816	0.7165620473201352	0.36689419795221845	1333494.5	1.103265617530269E-6
google-finance	0.7448598130841122	0.6800341296928327	0.7109723461195361	0.3199658703071673	3.79298496E8	7.146938969526673E-7
marketintellisearch	0.6559139784946236	0.5204778156996587	0.5803996194100857	0.4795221843003413	4.45309184E8	1.3010730981477536E-6
msn-money	0.8589743589743589	0.8575085324232082	0.8582408198121264	0.14249146757679176	4.7761856E8	5.682562687070458E-7
paidcontent	0.8253615127919911	0.6331058020477816	0.7165620473201352	0.36689419795221845	1333257.0	1.0779007197925239E-6
thecramerreport	0.5347368421052632	0.2167235494880546	0.30843958712811176	0.7832764505119454	1083376.75	1.1909284580724488E-7
cio-com	0.8553875236294896	0.7721843003412969	0.8116591928251121	0.22781569965870307	1.31804664E8	7.166283353399194E-7
investorguide	0.5299586776859504	0.4377133105802048	0.4794392523364486	0.5622866894197952	6.699350528E9	1.732056685577188E-11
simple-stock-quotes	0.5549738219895288	0.18088737201365188	0.2728442728442728	0.8191126279863481	NaN	NaN
streetinsider-com	0.820536540240518	0.7568259385665529	0.7873945849977807	0.2431740614334471	36166.69921875	4.555759915092494E-6
eresearch-fidelity-com	0.8179271708683473	0.7474402730375427	0.7810967454302273	0.2525597269624573	3.31258592E8	2.3822174455290224E-8
bloomberg	0.6537342386032978	0.5750853242320819	0.6118928733545166	0.4249146757679181	3.0598832E8	8.652034466649638E-7
tmx-quotemedia	0.7854700854700855	0.7841296928327645	0.784799316823228	0.21587030716723554	2.59380368E8	6.282263029788737E-7
financial-content	0.8253615127919911	0.6331058020477816	0.7165620473201352	0.36689419795221845	1334113.875	1.1399005188650335E-6
yahoo-finance	0.7460732984293194	0.7295221843003413	0.7377049180327868	0.2704778156996587	4.53512128E8	6.753576258233807E-7
scroli	0.813810110974106	0.5631399317406144	0.6656580937972768	0.4368600682593856	1522758.375	2.446681151013763E-7
barchart	0.7376068376068377	0.7363481228668942	0.7369769427839454	0.2636518771331058	4.27711296E8	6.122928652985138E-7
hpcwire	0.8253615127919911	0.6331058020477816	0.7165620473201352	0.36689419795221845	1333773.875	1.1312820333841955E-6
stocktwits	0.31333333333333335	0.08020477815699659	0.12771739130434784	0.9197952218430034	NaN	NaN
tickerspy	0.8173345759552656	0.7482935153583617	0.7812917594654788	0.25170648464163825	5.81124992E8	1.273236875931616E-6
investopedia	0.6432865731462926	0.2738907849829352	0.38420107719928187	0.7261092150170648	NaN	NaN
